iter	PRAUC	Logloss
0	0.8467817045	0.6697349188
1	0.869620255	0.6452413542
2	0.8743022456	0.6241604963
3	0.8768869298	0.6046104404
4	0.8789853342	0.5888825685
5	0.8804169291	0.576024461
6	0.8822028074	0.5634103003
7	0.883092236	0.5517440589
8	0.8841772654	0.5434669371
9	0.8842865774	0.5359326741
10	0.8849794631	0.5279020505
11	0.8861188124	0.5206083913
12	0.8870257576	0.5140747229
13	0.8875148544	0.5081308349
14	0.8880062115	0.5026509234
15	0.8881377855	0.4971554596
16	0.8888914482	0.4917837785
17	0.8894480432	0.4868742173
18	0.8899782576	0.4824598243
19	0.8914872656	0.4778789804
20	0.8916710939	0.4745780578
21	0.8927740179	0.471147872
22	0.8933807765	0.4686321747
23	0.894610919	0.4649748493
24	0.8951620958	0.4622250918
25	0.8957738046	0.4596795585
26	0.8963248329	0.4576206415
27	0.8968795496	0.4555415426
28	0.8976850629	0.4531600835
29	0.8983272187	0.4511251371
30	0.8989949806	0.4491780751
31	0.8995872853	0.4472015837
32	0.9003094635	0.4452558825
33	0.9008805594	0.4434270117
34	0.9013617989	0.4416597839
35	0.9019863398	0.4398030283
36	0.9025284051	0.438542627
37	0.9030797939	0.4368822956
38	0.903695604	0.4353973926
39	0.9041417648	0.4338018524
40	0.9049890426	0.4317953142
41	0.9053756165	0.4307275586
42	0.9060590531	0.4291448827
43	0.9063610702	0.4281119864
44	0.9070673932	0.4259828614
45	0.9075213546	0.4246656043
46	0.9081299552	0.4229178818
47	0.9084952938	0.4217421361
48	0.9088131336	0.4208019697
49	0.9094064509	0.4195481696
50	0.9099762698	0.4181319627
51	0.9108709352	0.4163018854
52	0.9114637405	0.4150107363
53	0.9121669921	0.4135020298
54	0.912533328	0.4124488495
55	0.9130431109	0.4111965737
56	0.9132700255	0.4102028093
57	0.9137104606	0.4091221707
58	0.9139875209	0.4084410233
59	0.9144672099	0.4072847733
60	0.9148675051	0.4061941748
61	0.9151133022	0.4055338538
62	0.9154056617	0.4047568766
63	0.9157300833	0.4038091868
64	0.9165946015	0.4021515906
65	0.9171021754	0.4012146286
66	0.91739382	0.4005814504
67	0.9177704618	0.399715911
68	0.9180264857	0.3989864802
69	0.918253325	0.3982433357
70	0.9186047781	0.397525798
71	0.918850231	0.3969586768
72	0.9190166291	0.3964147699
73	0.9193556191	0.3955945849
74	0.9196250244	0.3949597931
75	0.9198279696	0.3943374869
76	0.9201501234	0.3935372084
77	0.9203269424	0.3928722771
78	0.920611573	0.3921945982
79	0.9210108792	0.3912902856
80	0.9212269449	0.3906696568
81	0.9217236498	0.3894625851
82	0.9220161505	0.3887804585
83	0.9223777016	0.3880380507
84	0.9227295834	0.3872444403
85	0.9231915271	0.38623207
86	0.9235958101	0.3852170704
87	0.9239419267	0.3842795996
88	0.9243806479	0.3833351036
89	0.9245878681	0.3828750544
90	0.9248922349	0.3821671132
91	0.9251597706	0.3815542466
92	0.9253095434	0.3812061619
93	0.9256262832	0.3803683004
94	0.9258581422	0.37975437
95	0.9260071238	0.3791988968
96	0.9262037443	0.3787338925
97	0.9263972881	0.3783008528
98	0.9266658643	0.3777485875
99	0.9269363805	0.3771522711
100	0.9273168953	0.3762570932
101	0.9275814055	0.375507259
102	0.9277905526	0.3751005232
103	0.928023713	0.3744137414
104	0.9282840776	0.3737944707
105	0.9283975656	0.3734664731
106	0.9287296583	0.3726695464
107	0.9289021653	0.372220399
108	0.9290170886	0.3719129094
109	0.9291893938	0.3714677235
110	0.9296947406	0.3703882129
111	0.9300355834	0.3695989051
112	0.9304541861	0.3687263758
113	0.9307349122	0.3680560119
114	0.9308933345	0.3676210307
115	0.9310199915	0.3672848642
116	0.9314078861	0.3663729865
117	0.9317403245	0.3653936806
118	0.9319470372	0.3648340572
119	0.9321291151	0.3643379456
120	0.9322868024	0.3639362973
121	0.9324702343	0.3632728644
122	0.9326478265	0.3628213619
123	0.93286489	0.3622776834
124	0.9330167637	0.3618097562
125	0.9335420449	0.3605962054
126	0.9336779277	0.3602306028
127	0.9337585006	0.3599868146
128	0.9339534352	0.3593676988
129	0.9344209263	0.3583416852
130	0.9345197504	0.3580140264
131	0.9346909166	0.35758086
132	0.9349077997	0.357025517
133	0.9350839065	0.3565492848
134	0.9353530207	0.3559301042
135	0.935504095	0.3556344832
136	0.9356814663	0.3552652064
137	0.9358514106	0.354812158
138	0.9359721393	0.3545534189
139	0.9364311523	0.3534767919
140	0.9366230279	0.3530620873
141	0.9367814928	0.3526671216
142	0.9369491074	0.3522633042
143	0.9371694529	0.3517525804
144	0.9373714128	0.351191453
145	0.937596157	0.3506389828
146	0.9377824254	0.3501721663
147	0.9378617829	0.3499425229
148	0.9379692347	0.3496627163
149	0.9380891064	0.3494035206
150	0.9382732508	0.3489210898
151	0.9384248216	0.3485723144
152	0.9384862409	0.3483141511
153	0.9388671361	0.3473859779
154	0.9389790627	0.3470786535
155	0.9390378603	0.3469198732
156	0.9392033004	0.3464737748
157	0.9394420129	0.3457980037
158	0.9395460669	0.3455437521
159	0.9397202309	0.3450493695
160	0.9398538445	0.3446998214
161	0.9400764844	0.3441985406
162	0.9402819899	0.3436370446
163	0.9405360201	0.3430268957
164	0.9407402819	0.3425036223
165	0.9408432297	0.3421559496
166	0.9410058881	0.3417328817
167	0.9412810431	0.341095369
168	0.9414005005	0.3407338026
169	0.9416172416	0.3401526537
170	0.9418702234	0.3395267056
171	0.9420995092	0.3389906624
172	0.9422120329	0.3386544409
173	0.9423635418	0.3382771276
174	0.9425515216	0.3377944419
175	0.9426545509	0.3375481037
176	0.9427532121	0.3372604673
177	0.942885378	0.3369914927
178	0.9430795919	0.3365813483
179	0.9432045507	0.3362677764
180	0.9435561722	0.3353622281
181	0.9437372837	0.3348506837
182	0.9439677606	0.3342672698
183	0.9440667037	0.3340139402
184	0.9441243697	0.3338296736
185	0.9442294987	0.3335643853
186	0.9445280261	0.3327880874
187	0.9445555005	0.3326499627
188	0.9446492236	0.3324138124
189	0.9447365533	0.3321702923
190	0.9447819402	0.3320302282
191	0.944949334	0.3316339963
192	0.9451154546	0.3312211563
193	0.9452612082	0.3309278473
194	0.9454703715	0.3303196278
195	0.9455501266	0.3301307891
196	0.9456045313	0.3299780385
197	0.9457234122	0.3296843038
198	0.9458911067	0.3292929006
199	0.9460221342	0.3289440723
200	0.9461201536	0.3286930096
201	0.9462151435	0.3283915978
202	0.9463483843	0.3280463085
203	0.9464857428	0.3276530966
204	0.9466567094	0.3271366563
205	0.9467484752	0.3268892864
206	0.9469447323	0.3262849357
207	0.9471693198	0.3257166042
208	0.9472047549	0.3255778844
209	0.9472782908	0.3253152602
210	0.9474026097	0.3249496009
211	0.947512381	0.3246703902
212	0.947676786	0.3242240238
213	0.9477468187	0.3240332074
214	0.9478977046	0.323614936
215	0.9480067978	0.3233314423
216	0.9481549199	0.3229220744
217	0.9482751974	0.3225804807
218	0.948313265	0.3223986519
219	0.94850364	0.3218913123
220	0.9487310499	0.321236606
221	0.9488416774	0.3210258346
222	0.9489193973	0.3208683909
223	0.9489947844	0.3205866588
224	0.9491714193	0.3201893794
