iter	Passed	Remaining
0	216	433310
1	370	370085
2	489	325839
3	619	309249
4	741	295700
5	877	291492
6	1014	288940
7	1187	295720
8	1329	294017
9	1467	291979
10	1610	291131
11	1756	290952
12	1896	289909
13	2027	287546
14	2156	285403
15	2290	283963
16	2429	283411
17	2563	282225
18	2699	281470
19	2832	280377
20	2959	278852
21	3102	278898
22	3237	278258
23	3376	278014
24	3532	279090
25	3686	279919
26	3811	278535
27	3959	278850
28	4094	278292
29	4234	278088
30	4362	277082
31	4504	277003
32	4646	276971
33	4783	276584
34	4917	276104
35	5052	275638
36	5176	274626
37	5329	275195
38	5478	275451
39	5616	275204
40	5779	276170
41	5928	276361
42	6066	276096
43	6193	275349
44	6340	275464
45	6471	274887
46	6605	274498
47	6739	274067
48	6875	273757
49	7008	273349
50	7159	273595
51	7292	273203
52	7429	272935
53	7569	272774
54	7703	272435
55	7848	272470
56	7984	272179
57	8128	272150
58	8249	271386
59	8389	271250
60	8532	271218
61	8661	270729
62	8791	270308
63	8923	269946
64	9066	269892
65	9205	269738
66	9342	269549
67	9477	269286
68	9604	268791
69	9732	268351
70	9865	268035
71	9987	267438
72	10118	267106
73	10251	266810
74	10378	266386
75	10511	266115
76	10650	265986
77	10793	265952
78	10926	265695
79	11092	266227
80	11262	266833
81	11405	266782
82	11548	266719
83	11679	266404
84	11821	266328
85	11963	266256
86	12109	266264
87	12238	265909
88	12367	265564
89	12495	265185
90	12627	264894
91	12758	264603
92	12871	263940
93	13008	263766
94	13138	263454
95	13309	263969
96	13467	264208
97	13616	264274
98	13790	264811
99	13918	264450
100	14044	264055
101	14172	263717
102	14298	263333
103	14438	263220
104	14560	262781
105	14705	262747
106	14863	262952
107	14998	262747
108	15126	262420
109	15257	262150
110	15386	261848
111	15531	261813
112	15674	261749
113	15817	261686
114	15939	261270
115	16067	260953
116	16209	260880
117	16343	260665
118	16483	260552
119	16611	260247
120	16738	259936
121	16902	260189
122	17045	260119
123	17193	260114
124	17334	260014
125	17496	260232
126	17640	260155
127	17767	259843
128	17897	259583
129	18051	259670
130	18183	259434
131	18308	259096
132	18455	259067
133	18593	258927
134	18718	258597
135	18844	258285
136	18968	257941
137	19111	257863
138	19291	258279
139	19489	258930
140	19647	259041
141	19818	259312
142	20007	259819
143	20248	260978
144	20425	261309
145	20608	261703
146	20782	261971
147	20949	262148
148	21099	262116
149	21240	261964
150	21388	261903
151	21533	261797
152	21664	261533
153	21816	261513
154	21964	261452
155	22090	261124
156	22239	261066
157	22386	260989
158	22532	260890
159	22682	260851
160	22839	260881
161	23015	261126
162	23178	261224
163	23330	261183
164	23482	261153
165	23630	261077
166	23771	260911
167	23916	260806
168	24042	260480
169	24183	260332
170	24354	260494
171	24513	260527
172	24667	260506
173	24833	260609
174	24991	260626
175	25142	260563
176	25265	260216
177	25410	260098
178	25562	260053
179	25708	259939
180	25882	260110
181	26048	260199
182	26224	260384
183	26378	260339
184	26518	260166
185	26648	259895
186	26803	259861
187	26935	259616
188	27072	259409
189	27209	259210
190	27337	258917
191	27475	258725
192	27623	258633
193	27761	258438
194	27897	258233
195	28028	257977
196	28155	257686
197	28301	257572
198	28445	257442
199	28586	257275
200	28717	257033
201	28871	256985
202	29022	256910
203	29160	256726
204	29320	256735
205	29474	256684
206	29625	256609
207	29788	256635
208	29938	256551
209	30096	256536
210	30240	256399
211	30374	256174
212	30515	256011
213	30651	255809
214	30795	255675
215	30932	255476
216	31080	255379
217	31226	255255
218	31357	255008
219	31500	254864
220	31640	254699
221	31770	254448
222	31895	254166
223	32039	254027
224	32191	253953
225	32324	253734
226	32470	253610
227	32614	253478
228	32760	253356
229	32888	253101
230	33041	253031
231	33179	252848
232	33329	252762
233	33486	252722
234	33632	252598
235	33769	252411
236	33901	252183
237	34058	252150
238	34194	251954
239	34328	251743
240	34474	251621
241	34622	251512
242	34763	251357
243	34932	251396
244	35734	255978
245	35903	255995
246	36068	255984
247	36410	257223
248	36619	257510
249	36968	258776
250	37107	258570
251	37256	258433
252	37386	258156
253	37557	258170
254	37718	258113
255	37871	257996
256	37990	257658
257	38135	257487
258	38270	257256
259	38407	257033
260	38558	256907
261	38696	256696
262	38833	256480
263	38965	256229
264	39096	255968
265	39235	255765
266	39378	255590
267	39511	255351
268	39672	255288
269	39807	255064
270	39944	254850
271	40075	254600
272	40265	254717
273	40461	254876
274	40610	254738
275	40744	254507
276	40891	254356
277	41035	254183
278	41163	253913
279	41298	253693
280	41445	253540
281	41573	253273
282	41720	253124
283	41851	252875
284	41991	252685
285	42123	252444
286	42255	252209
287	42399	252040
288	42551	251923
289	42678	251658
290	42801	251367
291	42948	251220
292	43075	250958
293	43213	250753
294	43351	250556
295	43483	250325
296	43616	250094
297	43752	249887
298	43894	249714
299	44018	249439
300	44147	249192
301	44288	249015
302	44430	248840
303	44566	248631
304	44716	248505
305	44863	248360
306	45004	248183
307	45140	247980
308	45277	247782
309	45424	247634
310	45552	247392
311	45701	247254
312	45839	247066
313	45980	246891
314	46139	246810
315	46275	246608
316	46417	246436
317	46556	246249
318	46685	246011
319	46826	245837
320	46954	245595
321	47095	245422
322	47231	245222
323	47367	245024
324	47502	244819
325	47635	244609
326	47773	244421
327	47896	244153
328	48039	243993
329	48175	243796
330	48319	243641
331	48454	243438
332	48596	243276
333	48720	243021
334	48864	242862
335	49009	242716
336	49155	242567
337	49293	242383
338	49432	242204
339	49563	241985
340	49705	241821
341	49841	241631
342	49972	241411
343	50115	241253
344	50261	241108
345	50401	240935
346	50545	240781
347	50688	240625
348	50834	240479
349	50963	240254
350	51105	240091
351	51253	239959
352	51405	239843
353	51660	240208
354	51829	240166
355	52099	240594
356	52582	241997
357	52725	241829
358	52862	241635
359	52994	241417
360	53139	241262
361	53283	241098
362	53534	241422
363	53684	241286
364	53822	241096
365	53951	240866
366	54083	240651
367	54213	240423
368	54344	240205
369	54473	239976
370	54605	239763
371	54736	239547
372	54859	239294
373	54998	239112
374	55137	238930
375	55286	238789
376	55409	238538
377	55543	238338
378	55687	238178
379	55815	237949
380	55942	237718
381	56078	237527
382	56216	237340
383	56358	237174
384	56480	236925
385	56613	236721
386	56744	236510
387	56889	236353
388	57015	236125
389	57145	235910
390	57282	235720
391	57428	235574
392	57576	235433
393	57712	235246
394	57850	235062
395	57983	234861
396	58122	234684
397	58258	234497
398	58398	234326
399	58533	234133
400	58669	233946
401	58819	233813
402	58944	233583
403	59098	233469
404	59244	233320
405	59399	233210
406	59544	233058
407	59685	232891
408	59832	232748
409	59981	232611
410	60096	232343
411	60217	232101
412	60357	231930
413	60490	231733
414	60637	231589
415	60770	231393
416	60909	231224
417	61050	231057
418	61198	230917
